timestampNs,gnssAvailable,mode,lat,lon,speedMps,bearingDegrees,covarianceRadius95M,acceptedFixAgeSeconds,rejectedFixes,discontinuities
830000000,false,GNSS_AIDED,28.000073744371687,77.0,10.0,0.0,11.191986458666461,0.82,0,0
840000000,false,GNSS_AIDED,28.000074643693292,77.0,10.0,0.0,11.302804800486113,0.83,0,0
850000000,false,GNSS_AIDED,28.000075543014898,77.0,10.0,0.0,11.413885821016759,0.84,0,0
860000000,false,GNSS_AIDED,28.000076442336503,77.0,10.0,0.0,11.525222405166334,0.85,0,0
870000000,false,GNSS_AIDED,28.00007734165811,77.0,10.0,0.0,11.636807696860213,0.86,0,0
880000000,false,GNSS_AIDED,28.000078240979715,77.0,10.0,0.0,11.748635088240547,0.87,0,0
890000000,false,GNSS_AIDED,28.00007914030132,77.0,10.0,0.0,11.860698209358187,0.88,0,0
900000000,false,GNSS_AIDED,28.000080039622926,77.0,10.0,0.0,11.97299091833426,0.89,0,0
910000000,false,GNSS_AIDED,28.00008093894453,77.0,10.0,0.0,12.085507291969344,0.9,0,0
920000000,false,GNSS_AIDED,28.000081838266137,77.0,10.0,0.0,12.198241616779162,0.91,0,0
930000000,false,GNSS_AIDED,28.000082737587743,77.0,10.0,0.0,12.311188380436654,0.92,0,0
940000000,false,GNSS_AIDED,28.000083636909352,77.0,10.0,0.0,12.42434226360115,0.93,0,0
950000000,false,GNSS_AIDED,28.000084536230958,77.0,10.0,0.0,12.537698132116295,0.94,0,0
960000000,false,GNSS_AIDED,28.000085435552563,77.0,10.0,0.0,12.65125102955917,0.95,0,0
970000000,false,GNSS_AIDED,28.00008633487417,77.0,10.0,0.0,12.764996170123862,0.96,0,0
980000000,false,GNSS_AIDED,28.000087234195774,77.0,10.0,0.0,12.878928931823586,0.97,0,0
990000000,false,GNSS_AIDED,28.00008813351738,77.0,10.0,0.0,12.993044849996139,0.98,0,0
1000000000,false,GNSS_AIDED,28.000089032838986,77.0,10.0,0.0,13.107339611098228,0.99,0,0
1010000000,false,GNSS_AIDED,28.00008993216059,77.0,10.0,0.0,13.221809046774906,1.0,0,0
1020000000,false,GNSS_AIDED,28.000090831482197,77.0,10.0,0.0,13.336449128191,1.01,0,0
1030000000,false,GNSS_AIDED,28.000091730803803,77.0,10.0,0.0,13.45125596061207,1.02,0,0
1040000000,false,GNSS_AIDED,28.00009263012541,77.0,10.0,0.0,13.56622577822302,1.03,0,0
1050000000,false,GNSS_AIDED,28.000093529447014,77.0,10.0,0.0,13.681354939173096,1.04,0,0
1060000000,false,GNSS_AIDED,28.000094428768623,77.0,10.0,0.0,13.796639920836508,1.05,0,0
1070000000,false,GNSS_AIDED,28.00009532809023,77.0,10.0,0.0,13.9120773152785,1.06,0,0
1080000000,false,GNSS_AIDED,28.000096227411834,77.0,10.0,0.0,14.027663824917152,1.07,0,0
1090000000,false,GNSS_AIDED,28.00009712673344,77.0,10.0,0.0,14.143396258371686,1.08,0,0
1100000000,false,GNSS_AIDED,28.000098026055046,77.0,10.0,0.0,14.259271526488506,1.09,0,0
1110000000,false,GNSS_AIDED,28.00009892537665,77.0,10.0,0.0,14.375286638536652,1.1,0,0
1120000000,false,GNSS_AIDED,28.000099824698257,77.0,10.0,0.0,14.491438698564728,1.11,0,0
1130000000,false,GNSS_AIDED,28.000100724019862,77.0,10.0,0.0,14.607724901911759,1.12,0,0
1140000000,false,GNSS_AIDED,28.000101623341468,77.0,10.0,0.0,14.724142531864858,1.13,0,0
1150000000,false,GNSS_AIDED,28.000102522663074,77.0,10.0,0.0,14.84068895645685,1.14,0,0
1160000000,false,GNSS_AIDED,28.00010342198468,77.0,10.0,0.0,14.95736162539741,1.15,0,0
1170000000,false,GNSS_AIDED,28.000104321306285,77.0,10.0,0.0,15.074158067131554,1.16,0,0
1180000000,false,GNSS_AIDED,28.000105220627894,77.0,10.0,0.0,15.191075886019638,1.17,0,0
1190000000,false,GNSS_AIDED,28.0001061199495,77.0,10.0,0.0,15.308112759633293,1.18,0,0
1200000000,false,GNSS_AIDED,28.000107019271105,77.0,10.0,0.0,15.425266436162026,1.19,0,0
1210000000,false,GNSS_AIDED,28.00010791859271,77.0,10.0,0.0,15.542534731925446,1.2,0,0
1220000000,false,GNSS_AIDED,28.000108817914317,77.0,10.0,0.0,15.659915528986328,1.21,0,0
1230000000,false,GNSS_AIDED,28.000109717235922,77.0,10.0,0.0,15.777406772859974,1.22,0,0
1240000000,false,GNSS_AIDED,28.000110616557528,77.0,10.0,0.0,15.895006470315549,1.23,0,0
1250000000,false,GNSS_AIDED,28.000111515879134,77.0,10.0,0.0,16.012712687265253,1.24,0,0
1260000000,false,GNSS_AIDED,28.00011241520074,77.0,10.0,0.0,16.130523546737436,1.25,0,0
1270000000,false,GNSS_AIDED,28.000113314522345,77.0,10.0,0.0,16.24843722692992,1.26,0,0
1280000000,false,GNSS_AIDED,28.00011421384395,77.0,10.0,0.0,16.366451959339965,1.27,0,0
1290000000,false,GNSS_AIDED,28.000115113165556,77.0,10.0,0.0,16.484566026967517,1.28,0,0
1300000000,false,GNSS_AIDED,28.00011601248716,77.0,10.0,0.0,16.602777762588527,1.29,0,0
1310000000,false,GNSS_AIDED,28.00011691180877,77.0,10.0,0.0,16.721085547095253,1.3,0,0
1320000000,false,GNSS_AIDED,28.000117811130377,77.0,10.0,0.0,16.83948780790067,1.31,0,0
1330000000,false,GNSS_AIDED,28.000118710451982,77.0,10.0,0.0,16.957983017404167,1.32,0,0
1340000000,false,GNSS_AIDED,28.000119609773588,77.0,10.0,0.0,17.076569691515907,1.33,0,0
1350000000,false,GNSS_AIDED,28.000120509095193,77.0,10.0,0.0,17.195246388237347,1.34,0,0
1360000000,false,GNSS_AIDED,28.0001214084168,77.0,10.0,0.0,17.314011706295478,1.35,0,0
1370000000,false,GNSS_AIDED,28.000122307738405,77.0,10.0,0.0,17.432864283828504,1.36,0,0
1380000000,false,GNSS_AIDED,28.00012320706001,77.0,10.0,0.0,17.55180279712082,1.37,0,0
1390000000,false,GNSS_AIDED,28.000124106381616,77.0,10.0,0.0,17.670825959385155,1.38,0,0
1400000000,false,GNSS_AIDED,28.00012500570322,77.0,10.0,0.0,17.789932519589904,1.39,0,0
1410000000,false,GNSS_AIDED,28.000125905024827,77.0,10.0,0.0,17.909121261329794,1.4,0,0
1420000000,false,GNSS_AIDED,28.000126804346433,77.0,10.0,0.0,18.028391001738047,1.41,0,0
1430000000,false,GNSS_AIDED,28.000127703668042,77.0,10.0,0.0,18.147740590438293,1.42,0,0
1440000000,false,GNSS_AIDED,28.000128602989648,77.0,10.0,0.0,18.26716890853468,1.43,0,0
1450000000,false,GNSS_AIDED,28.000129502311253,77.0,10.0,0.0,18.38667486763849,1.44,0,0
1460000000,false,GNSS_AIDED,28.00013040163286,77.0,10.0,0.0,18.506257408929866,1.45,0,0
1470000000,false,GNSS_AIDED,28.000131300954465,77.0,10.0,0.0,18.625915502253164,1.46,0,0
1480000000,false,GNSS_AIDED,28.00013220027607,77.0,10.0,0.0,18.745648145244584,1.47,0,0
1490000000,false,GNSS_AIDED,28.000133099597676,77.0,10.0,0.0,18.865454362490766,1.48,0,0
1500000000,false,GNSS_AIDED,28.00013399891928,77.0,10.0,0.0,18.985333204717122,1.49,0,0
1510000000,false,GNSS_AIDED,28.000134898240887,77.0,10.0,0.0,19.105283748004688,1.5,0,0
1520000000,false,GNSS_AIDED,28.000135797562493,77.0,10.0,0.0,19.2253050930344,1.51,0,0
1530000000,false,GNSS_AIDED,28.0001366968841,77.0,10.0,0.0,19.345396364357644,1.52,0,0
1540000000,false,GNSS_AIDED,28.000137596205704,77.0,10.0,0.0,19.465556709692088,1.53,0,0
1550000000,false,GNSS_AIDED,28.000138495527313,77.0,10.0,0.0,19.585785299241827,1.54,0,0
1560000000,false,GNSS_AIDED,28.00013939484892,77.0,10.0,0.0,19.706081325040785,1.55,0,0
1570000000,false,GNSS_AIDED,28.000140294170524,77.0,10.0,0.0,19.826444000318585,1.56,0,0
1580000000,false,GNSS_AIDED,28.00014119349213,77.0,10.0,0.0,19.94687255888796,1.57,0,0
1590000000,false,GNSS_AIDED,28.000142092813736,77.0,10.0,0.0,20.06736625455285,1.58,0,0
1600000000,false,GNSS_AIDED,28.00014299213534,77.0,10.0,0.0,20.18792436053645,1.59,0,0
1610000000,false,GNSS_AIDED,28.000143891456947,77.0,10.0,0.0,20.30854616892837,1.6,0,0
1620000000,false,GNSS_AIDED,28.000144790778553,77.0,10.0,0.0,20.42923099015028,1.61,0,0
1630000000,false,GNSS_AIDED,28.000145690100158,77.0,10.0,0.0,20.54997815243922,1.62,0,0
1640000000,false,GNSS_AIDED,28.000146589421764,77.0,10.0,0.0,20.67078700134799,1.63,0,0
1650000000,false,GNSS_AIDED,28.00014748874337,77.0,10.0,0.0,20.791656899261962,1.64,0,0
1660000000,false,GNSS_AIDED,28.000148388064975,77.0,10.0,0.0,20.91258722493169,1.65,0,0
1670000000,false,GNSS_AIDED,28.000149287386584,77.0,10.0,0.0,21.033577373020712,1.66,0,0
1680000000,false,GNSS_AIDED,28.00015018670819,77.0,10.0,0.0,21.154626753668005,1.67,0,0
1690000000,false,GNSS_AIDED,28.000151086029796,77.0,10.0,0.0,21.275734792064565,1.68,0,0
1700000000,false,GNSS_AIDED,28.0001519853514,77.0,10.0,0.0,21.396900928043543,1.69,0,0
1710000000,false,GNSS_AIDED,28.000152884673007,77.0,10.0,0.0,21.518124615683497,1.7,0,0
1720000000,false,GNSS_AIDED,28.000153783994612,77.0,10.0,0.0,21.639405322924222,1.71,0,0
1730000000,false,GNSS_AIDED,28.000154683316218,77.0,10.0,0.0,21.760742531194772,1.72,0,0
1740000000,false,GNSS_AIDED,28.000155582637824,77.0,10.0,0.0,21.88213573505317,1.73,0,0
1750000000,false,GNSS_AIDED,28.00015648195943,77.0,10.0,0.0,22.00358444183741,1.74,0,0
1760000000,false,GNSS_AIDED,28.000157381281035,77.0,10.0,0.0,22.125088171327373,1.75,0,0
1770000000,false,GNSS_AIDED,28.00015828060264,77.0,10.0,0.0,22.246646455417217,1.76,0,0
1780000000,false,GNSS_AIDED,28.000159179924246,77.0,10.0,0.0,22.368258837797892,1.77,0,0
1790000000,false,GNSS_AIDED,28.000160079245852,77.0,10.0,0.0,22.489924873649443,1.78,0,0
1800000000,false,GNSS_AIDED,28.00016097856746,77.0,10.0,0.0,22.611644129342743,1.79,0,0
1810000000,false,GNSS_AIDED,28.000161877889067,77.0,10.0,0.0,22.733416182150275,1.8,0,0
1820000000,false,GNSS_AIDED,28.000162777210672,77.0,10.0,0.0,22.855240619965766,1.81,0,0
1830000000,false,GNSS_AIDED,28.000163676532278,77.0,10.0,0.0,22.977117041032212,1.82,0,0
1840000000,false,GNSS_AIDED,28.000164575853884,77.0,10.0,0.0,23.09904505367815,1.83,0,0
1850000000,false,GNSS_AIDED,28.00016547517549,77.0,10.0,0.0,23.221024276061783,1.84,0,0
1860000000,false,GNSS_AIDED,28.000166374497095,77.0,10.0,0.0,23.343054335922762,1.85,0,0
